City,id,nametype,reclass,mass (g),Trip or Order Status,Request Time,Pickup Lat,Pickup Lng,Dropoff Lat,Dropoff Lng
San Francisco,5302,Valid,San Francisco,1.22,COMPLETED,2019-06-09 00:30:33 +0000 UTC,37.42617,-122.15055,37.43867,-122.15954
San Francisco,5434,Valid,San Francisco,9.63,COMPLETED,2019-06-07 17:25:11 +0000 UTC,37.4262846,-122.1488746,37.4879936,-122.2254453
San Francisco,14654,Valid,San Francisco,9.73,COMPLETED,2019-06-06 17:39:06 +0000 UTC,37.42531,-122.14881,37.48811,-122.22541
San Francisco,10076,Valid,San Francisco,9.74,COMPLETED,2019-06-05 16:21:33 +0000 UTC,37.42536,-122.1489,37.48826,-122.22546
San Francisco,12448,Valid,San Francisco,9.77,COMPLETED,2019-06-04 23:52:30 +0000 UTC,37.48983,-122.22698,37.42535,-122.14891
San Francisco,12253,Valid,San Francisco,6.71,COMPLETED,2019-06-04 16:36:30 +0000 UTC,37.42632,-122.14896,37.48826,-122.22542
San Francisco,22392,Valid,San Francisco,8.17,COMPLETED,2019-06-03 16:30:27 +0000 UTC,37.4258688,-122.1495072,37.4882267,-122.2253121
San Francisco,23689,Valid,San Francisco,3.37,COMPLETED,2019-06-03 01:36:58 +0000 UTC,37.4253,-122.14878,37.42612,-122.17819
San Francisco,17931,Valid,San Francisco,26.13,COMPLETED,2019-06-02 03:56:50 +0000 UTC,37.24493,-121.9236,37.42531,-122.14881
San Francisco,30743,Valid,San Francisco,21.19,COMPLETED,2019-06-01 22:04:03 +0000 UTC,37.4252,-122.14845,37.2452,-121.9236
San Francisco,12217,Valid,San Francisco,0,CANCELED,2019-06-01 01:18:04 +0000 UTC,37.4556145,-122.1870826,37.4556145,-122.1870826
San Francisco,450,Valid,San Francisco,0,CANCELED,2019-05-30 05:30:22 +0000 UTC,37.5264517,-122.2700587,37.52579215,-122.2711779
San Francisco,10048,Valid,San Francisco,16.37,COMPLETED,2019-05-30 01:32:37 +0000 UTC,37.4262362,-122.1472941,37.5663979,-122.3245148
